DATAFLOW,LAST UPDATE,freq,unit,tra_mode,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2018,0.4,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2019,0.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2020,0.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2021,0.4,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2005,2.6,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2006,2.5,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2007,2.5,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2008,2.5,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2009,2.9,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2010,3.0,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2011,2.9,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2012,3.0,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2013,3.0,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2014,2.9,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2015,2.9,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2016,2.8,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2017,2.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2018,2.2,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2019,2.4,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2020,2.2,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FR,2021,2.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2005,5.1,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2006,5.0,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2007,5.6,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2008,5.7,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2009,6.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2010,8.2,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2011,6.4,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2012,7.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2013,7.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2014,6.9,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2015,7.8,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2016,7.4,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2017,6.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2018,5.2,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2019,6.5,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2020,6.7,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HR,2021,6.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HU,2005,6.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HU,2006,5.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HU,2007,5.8,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,HU,2008,5.7,
